symbol,base_asset,quote_asset,contract_type,underlying_type,exchange_tags,sector_l3,sector_l3_kr,subcat_code,subcat_kr,asset_class,last_price,change_24h_pct,quote_volume_24h,liquidity_tier,volatility_grade,listing_age,onboard_date
BTCUSDT,BTC,USDT,PERPETUAL,COIN,PoW,MAJOR,메이저,Bitcoin,Bitcoin,암호화폐,71703.0,10.944,31513553956.73,T1,HIGH,LEGACY,2019-09-08
ETHUSDT,ETH,USDT,PERPETUAL,COIN,Layer-1,MAJOR,메이저,Ethereum,Ethereum,암호화폐,2274.41,18.083,27231849654.76,T1,EXTREME,LEGACY,2019-11-27
ETHUSDC,ETH,USDC,PERPETUAL,COIN,USDC,MAJOR,메이저,Ethereum,Ethereum,암호화폐,2272.36,18.064,7765608923.37,T1,EXTREME,MID,2024-01-03
BTCUSDC,BTC,USDC,PERPETUAL,COIN,USDC,MAJOR,메이저,Bitcoin,Bitcoin,암호화폐,71641.9,10.946,6740788541.8,T1,HIGH,MID,2024-01-03
SNDKUSDT,SNDK,USDT,TRADIFI_PERPETUAL,EQUITY,TradFi,TRADFI,전통금융,TF-SEMI,반도체 · AI하드웨어,주식,1535.19,-7.828,5944764212.0242,T1,HIGH,NEW,2026-04-07
SOLUSDT,SOL,USDT,PERPETUAL,COIN,Layer-1,L1,레이어1,Alt-L1,Alt-L1,암호화폐,86.69,11.656,3496922559.979,T1,HIGH,LEGACY,2020-09-14
XAUUSDT,XAU,USDT,TRADIFI_PERPETUAL,COMMODITY,TradFi,TRADFI,전통금융,TF-COMM-PM,귀금속 (금·은·백금·팔라듐),원자재,4458.33,1.569,2922068103.65,T1,LOW,NEW,2025-12-11
SKHYNIXUSDT,SKHYNIX,USDT,TRADIFI_PERPETUAL,KR_EQUITY,TradFi,TRADFI,전통금융,TF-KR,한국 주식 · ETF,주식(한국),1175.27,0.06,2548058610.6315,T1,LOW,NEW,2026-06-02
HYPEUSDT,HYPE,USDT,PERPETUAL,COIN,DeFi,DEFI,디파이,Perp-DEX,Perp-DEX,암호화폐,71.238,20.802,2541423569.80774,T1,EXTREME,MID,2025-05-30
XRPUSDT,XRP,USDT,PERPETUAL,COIN,Payment,PAY,결제,Payments,Payments,암호화폐,1.1867,17.822,1819772319.2914,T1,EXTREME,LEGACY,2020-01-06
SOXLUSDT,SOXL,USDT,TRADIFI_PERPETUAL,EQUITY,TradFi,TRADFI,전통금융,TF-ETF-LEV,레버리지 · 인버스 ETF,주식(ETF),116.35,-11.332,1761827546.0405,T1,HIGH,NEW,2026-05-15
KORUUSDT,KORU,USDT,TRADIFI_PERPETUAL,EQUITY,TradFi,TRADFI,전통금융,TF-ETF-LEV,레버리지 · 인버스 ETF,주식(ETF),19.17,-3.668,1259583089.9928,T1,MID,NEW,2026-06-22
SNXXUSDT,SNXX,USDT,TRADIFI_PERPETUAL,EQUITY,TradFi,TRADFI,전통금융,TF-EQ-OTHER,개별주 · 기타(확인필요),주식,13.82,-15.474,1232312355.5764,T1,EXTREME,NEW,2026-07-09
XAGUSDT,XAG,USDT,TRADIFI_PERPETUAL,COMMODITY,TradFi,TRADFI,전통금융,TF-COMM-PM,귀금속 (금·은·백금·팔라듐),원자재,66.02,2.915,1189568891.4944,T1,LOW,NEW,2026-01-07
MUUSDT,MU,USDT,TRADIFI_PERPETUAL,EQUITY,TradFi,TRADFI,전통금융,TF-SEMI,반도체 · AI하드웨어,주식,921.57,-3.833,1181699983.4757,T1,MID,NEW,2026-04-07
SPCXUSDT,SPCX,USDT,TRADIFI_PERPETUAL,EQUITY,TradFi,TRADFI,전통금융,TF-EQ-OTHER,개별주 · 기타(확인필요),주식,135.81,-5.293,1176302471.4573,T1,MID,NEW,2026-05-21
SKHYUSDT,SKHY,USDT,TRADIFI_PERPETUAL,EQUITY,TradFi,TRADFI,전통금융,TF-SEMI,반도체 · AI하드웨어,주식,158.62,-2.279,1173241533.3553,T1,LOW,NEW,2026-07-10
ZECUSDT,ZEC,USDT,PERPETUAL,COIN,PoW,PRIVACY,프라이버시,Privacy,Privacy,암호화폐,562.12,10.375,1118600508.93,T1,HIGH,LEGACY,2020-02-05
BTWUSDT,BTW,USDT,PERPETUAL,COIN,-,OTHER,기타/미분류,미분류,미분류,암호화폐,0.38241,-39.319,855641296.714,T2,EXTREME,NEW,2026-06-04
BNBUSDT,BNB,USDT,PERPETUAL,COIN,Layer-1,L1,레이어1,Exchange-L1,Exchange-L1,암호화폐,640.47,5.991,766375029.47,T2,MID,LEGACY,2020-02-10
DOGEUSDT,DOGE,USDT,PERPETUAL,COIN,Meme,MEME,밈코인,Meme-L1,Meme-L1,암호화폐,0.07667,8.999,747185658.73046,T2,HIGH,LEGACY,2020-07-10
CLUSDT,CL,USDT,TRADIFI_PERPETUAL,COMMODITY,TradFi,TRADFI,전통금융,TF-COMM-EN,에너지 원자재 (원유·가스),원자재,87.49,3.858,586946557.4117,T2,MID,NEW,2026-04-01
SOLUSDC,SOL,USDC,PERPETUAL,COIN,USDC,L1,레이어1,Alt-L1,Alt-L1,암호화폐,86.63,11.68,543042076.5094,T2,HIGH,MID,2024-01-03
SOXSUSDT,SOXS,USDT,TRADIFI_PERPETUAL,EQUITY,TradFi,TRADFI,전통금융,TF-ETF-LEV,레버리지 · 인버스 ETF,주식(ETF),48.87,12.345,490377912.3516,T2,HIGH,NEW,2026-07-16
